X,Y,Z,ID,Name,address,neighborho,HMOname
34.7907892544368,31.2540165064844,0,11,בן יאיר,ביאליק,ב,כללית
34.7922136527957,31.2644117883804,0,15,יסקי,דוד המלך,ד,כללית
34.7995278732813,31.2671049247705,0,12,+תעסוקתי,קלאוזנר,ד,כללית
34.8008696571768,31.2665459692445,0,34,טיפת חלב,רינגלבלו,ד,משרד הבריאות
34.7910032214594,31.2489732436893,0,10,קפלן,כיכר קפל,א,כללית
34.7961945738082,31.2703021093148,0,13,,אברהם אב,ד,כללית
34.7792945602832,31.2592963312219,0,16,מרפאת מצ,מבצע עוב,ו,כללית
34.7694825669637,31.2571486107414,0,24,מרפאת - י,רחבת השי,יא,כללית
34.7770138833039,31.2457679237245,0,23,מרפאת - ט,שד' ירושל,ט,כללית
34.7769396842581,31.2454168204888,0,42,טיפת חלב,שד' ירושל,ט,משרד הבריאות
34.7833332995624,31.2402563818031,0,25,מרפאת שת,סמילנסקי,"ע""ע",כללית
34.7940207244825,31.2402784911653,0,6,מעבדה לב,שלושת בנ,"ע""ע",משרד הבריאות
34.8094386794854,31.2570324171222,0,14,מרפאת וי,חנה סנש,ג,כללית
34.8001168680703,31.2588011304014,0,8,מרכז רפו,שד' רגר,ג,כללית
34.8022061383171,31.2478659602315,0,7,מרפאה מח,הנרייטה,מרכז,כללית
34.8069169566676,31.2512785334609,0,9,מרפאה,המעפילים,ג,כללית
34.773266888083,31.2377474163845,0,17,מרפאת נו,יוהנה ז'ב,נווה,כללית
34.7908652339435,31.2310344279347,0,18,מרפאת נו,השיטה,נוונ,כללית
34.7663286098489,31.2669047813639,0,19,מרפאת נו,אמנון,נווה,כללית
34.7818379235162,31.250976782974,0,22,מרפאת שכ',רח' עלייה,ה,כללית
34.8002638486205,31.2553437112657,0,30,מרפאת וי,וינגייט,ג,מאוחדת
34.8143870240752,31.2748491128132,0,44,מרפאת רמ,הר כנען,רמות,כללית
34.7904031863755,31.2537340564229,0,32,טיפת חלב,הוברמן - 9,ב,משרד הבריאות
34.7878610484445,31.2688058889434,0,36,טיפת חלב,סנהדרין,ד,משרד הבריאות
34.7739852780022,31.2547397776199,0,38,טיפת חלב,טבנקין,ה,משרד הבריאות
34.7938746736887,31.2402204058827,0,37,טיפת חלב-,שלושל בנ,,משרד הבריאות
34.7711541170101,31.2571278891252,0,39,טיפת חלב,הרב קוק,יא,משרד הבריאות
34.7968030889884,31.2598755193193,0,2,היחידה ל,שלמה המל,ד,כללית
34.7997196806624,31.2473517490053,0,5,מלון פרד,בנרייטה,מ.אז,
34.7775983892115,31.2601438992425,0,40,טיפת חלב,מבצע עוב,ו,משרד הבריאות
34.7739314177128,31.2445768304455,0,4,"קופ""ח מכב",בית - אל  3,ט,מכבי
34.8050662888418,31.2707462471456,0,20,מרפאת רמ,שלום גרש,רמות,כללית
34.7942576946646,31.2437401638827,0,26,קניון הנ,רגר,מ. אז,כללית
34.7942345989786,31.2438565574201,0,28,לאומית ק,רגר,מ.אז,לאומית
34.8044449987199,31.2741810067361,0,21,מרפאת רמ,הדעת - 102,רמות,מכבי
34.7934421402692,31.2639538152543,0,27,מרפאת - ד,א.אבינו,ד,לאומית
34.7679871379169,31.2576878058092,0,29,מרפאת - י,שאול המל,יא,לאומית
34.8091614566938,31.2570489912071,0,45,תחנה ג',וינגייט -,ג,משרד הבריאות
34.7773199420162,31.2235293018544,0,46,טיפת חלב,חנוך גבת,נחל,משרד הבריאות
34.8088232787186,31.2711579575806,0,47,טיםת חלב,ורטהיימר,רמות,משרד הבריאות
34.7653241029184,31.2457956490555,0,48,כללית - ל,שומרון - 6,לון,כללית
34.784690768941,31.2430531220471,0,1,בית יציב,עצמאות,דרום,
34.7760195488957,31.2400326473012,0,49,מכבי נוו,יוהנה 7,נווה,מכבי
34.7689176506175,31.2617258216599,0,50,מכבי - שכ',הרצוג - 2,,מכבי
34.7695563608693,31.2702140293505,0,51,מרפאת נו,חנה רובי,נווה,מכבי
34.8033170668627,31.2626372553006,0,52,מרפאת או,בן גוריו,ג,כללית
34.7992201185497,31.2430378703692,0,53,מרפאת מג,יצחק בן צ,מ.אז,לאומית
34.7757138396281,31.2397672440592,0,54,לאומית נ,אשר ברש -,נ.זא,לאומית
34.790631060217,31.2435010308872,0,55,מרפאת בי,הרצל-רמב,"ע""ע",לאומית
34.7655264538261,31.2658912686358,0,56,מרפאת נו,אמנון - 1,,לאומית
34.7993802037233,31.2451316128543,0,57,מכבי מחו,התקווה - 4,מ.אז,מכבי
34.7998044942016,31.2448049342165,0,58,מרפאה,התקווה - 4,מ.אז,מכבי
34.8069665014505,31.2599409981351,0,59,"קופ""ח כלל",בן גוריו,מ.אז,כללית
34.8028464628415,31.2474871653141,0,60,"קופ""ח כלל",הנרייטה,מ.אז,כללית
34.7966296719178,31.2646943623665,0,0,,,,
34.7966335328769,31.264697703329,0,0,,,,
34.7907892544368,31.2540165064844,0,11,בן יאיר,ביאליק,ב,כללית
34.7922136527957,31.2644117883804,0,15,יסקי,דוד המלך,ד,כללית
34.7995278732813,31.2671049247705,0,12,+תעסוקתי,קלאוזנר,ד,כללית
34.8008696571768,31.2665459692445,0,34,טיפת חלב,רינגלבלו,ד,משרד הבריאות
34.7910032214594,31.2489732436893,0,10,קפלן,כיכר קפל,א,כללית
34.7961945738082,31.2703021093148,0,13,,אברהם אב,ד,כללית
34.7792945602832,31.2592963312219,0,16,מרפאת מצ,מבצע עוב,ו,כללית
34.7694825669637,31.2571486107414,0,24,מרפאת - י,רחבת השי,יא,כללית
34.7770138833039,31.2457679237245,0,23,מרפאת - ט,שד' ירושל,ט,כללית
34.7769396842581,31.2454168204888,0,42,טיפת חלב,שד' ירושל,ט,משרד הבריאות
34.7833332995624,31.2402563818031,0,25,מרפאת שת,סמילנסקי,"ע""ע",כללית
34.7940207244825,31.2402784911653,0,6,מעבדה לב,שלושת בנ,"ע""ע",משרד הבריאות
34.8094386794854,31.2570324171222,0,14,מרפאת וי,חנה סנש,ג,כללית
34.8001168680703,31.2588011304014,0,8,מרכז רפו,שד' רגר,ג,כללית
34.8022061383171,31.2478659602315,0,7,מרפאה מח,הנרייטה,מרכז,כללית
34.8069169566676,31.2512785334609,0,9,מרפאה,המעפילים,ג,כללית
34.773266888083,31.2377474163845,0,17,מרפאת נו,יוהנה ז'ב,נווה,כללית
34.7908652339435,31.2310344279347,0,18,מרפאת נו,השיטה,נוונ,כללית
34.7663286098489,31.2669047813639,0,19,מרפאת נו,אמנון,נווה,כללית
34.7818379235162,31.250976782974,0,22,מרפאת שכ',רח' עלייה,ה,כללית
34.8002638486205,31.2553437112657,0,30,מרפאת וי,וינגייט,ג,מאוחדת
34.8143870240752,31.2748491128132,0,44,מרפאת רמ,הר כנען,רמות,כללית
34.7904031863755,31.2537340564229,0,32,טיפת חלב,הוברמן - 9,ב,משרד הבריאות
34.7878610484445,31.2688058889434,0,36,טיפת חלב,סנהדרין,ד,משרד הבריאות
34.7739852780022,31.2547397776199,0,38,טיפת חלב,טבנקין,ה,משרד הבריאות
34.7938746736887,31.2402204058827,0,37,טיפת חלב-,שלושל בנ,,משרד הבריאות
34.7711541170101,31.2571278891252,0,39,טיפת חלב,הרב קוק,יא,משרד הבריאות
34.7968030889884,31.2598755193193,0,2,היחידה ל,שלמה המל,ד,כללית
34.7997196806624,31.2473517490053,0,5,מלון פרד,בנרייטה,מ.אז,
34.7775983892115,31.2601438992425,0,40,טיפת חלב,מבצע עוב,ו,משרד הבריאות
34.7739314177128,31.2445768304455,0,4,"קופ""ח מכב",בית - אל  3,ט,מכבי
34.8050662888418,31.2707462471456,0,20,מרפאת רמ,שלום גרש,רמות,כללית
34.7942576946646,31.2437401638827,0,26,קניון הנ,רגר,מ. אז,כללית
34.7942345989786,31.2438565574201,0,28,לאומית ק,רגר,מ.אז,לאומית
34.8044449987199,31.2741810067361,0,21,מרפאת רמ,הדעת - 102,רמות,מכבי
34.7934421402692,31.2639538152543,0,27,מרפאת - ד,א.אבינו,ד,לאומית
34.7679871379169,31.2576878058092,0,29,מרפאת - י,שאול המל,יא,לאומית
34.8091614566938,31.2570489912071,0,45,תחנה ג',וינגייט -,ג,משרד הבריאות
34.7773199420162,31.2235293018544,0,46,טיפת חלב,חנוך גבת,נחל,משרד הבריאות
34.8088232787186,31.2711579575806,0,47,טיםת חלב,ורטהיימר,רמות,משרד הבריאות
34.7653241029184,31.2457956490555,0,48,כללית - ל,שומרון - 6,לון,כללית
34.784690768941,31.2430531220471,0,1,בית יציב,עצמאות,דרום,
34.7760195488957,31.2400326473012,0,49,מכבי נוו,יוהנה 7,נווה,מכבי
34.7689176506175,31.2617258216599,0,50,מכבי - שכ',הרצוג - 2,,מכבי
34.7695563608693,31.2702140293505,0,51,מרפאת נו,חנה רובי,נווה,מכבי
34.8033170668627,31.2626372553006,0,52,מרפאת או,בן גוריו,ג,כללית
34.7992201185497,31.2430378703692,0,53,מרפאת מג,יצחק בן צ,מ.אז,לאומית
34.7757138396281,31.2397672440592,0,54,לאומית נ,אשר ברש -,נ.זא,לאומית
34.790631060217,31.2435010308872,0,55,מרפאת בי,הרצל-רמב,"ע""ע",לאומית
34.7655264538261,31.2658912686358,0,56,מרפאת נו,אמנון - 1,,לאומית
34.7993802037233,31.2451316128543,0,57,מכבי מחו,התקווה - 4,מ.אז,מכבי
34.7998044942016,31.2448049342165,0,58,מרפאה,התקווה - 4,מ.אז,מכבי
34.8069665014505,31.2599409981351,0,59,"קופ""ח כלל",בן גוריו,מ.אז,כללית
34.8028464628415,31.2474871653141,0,60,"קופ""ח כלל",הנרייטה,מ.אז,כללית
34.7966296719178,31.2646943623665,0,0,,,,
34.7966335328769,31.264697703329,0,0,,,,
