X,Y,Z,Type,Name,street,HouseNumbe,neighborho,Operator,Seats,Activity,fencing,lighting,handicappe,handicap_1,yearOfEsta,condition,Owner,ForSchool,associatio,SportType
34.7639188270001,31.257552794,0,מגרש כדורסל – 19X32 מ',אור,מאיר יערי,50.00000000000,יא,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אור,,
34.7751300630001,31.255161367,0,מגרש ספורט משולב – 43X32 מ',אוריין,טבנקין,0.00000000000,ה',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אוריין,,
34.775263523,31.254856031,0,אולם ספורט קטן – 15x24 מ',אוריין,טבנקין,0.00000000000,ה',ניהול עצמי,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אוריין,כיוונים,חוגי ספורט
34.7766780260001,31.243229722,0,אולם ספורט קטן – 20x10 מ',אשכול,מגידו,12.00000000000,ט',ניהול עצמי,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אשכול,,ג'ודו
34.7763054160001,31.2430966220001,0,מגרש כדורסל – 19X32 מ',אשכול,מגידו,12.00000000000,ט',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אשכול,,
34.787806694,31.2440310200001,0,מגרש ספורט משולב – 43X32 מ',בארי,אסף שמחוני,483.00000000000,עיר עתיקה,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,בארי,,
34.7768850190001,31.23748993,0,מגרש ספורט משולב – 43X32 מ',יחדיו,חטיבה 8,12.00000000000,נווה זאב,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.784991588,31.2373610650001,0,מגרש מיני פיץ',מרגליות,ההגנה,10.00000000000,עיר עתיקה,כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,לא,כדורגל
34.7643277190001,31.24716534,0,מגרש כדורגל – 45X90 מ',מגרש כדורגל נאות לון,שמחה הולברג,6.00000000000,נאות לון,כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,כיוונים פוטבול וקהילה,כדורגל
34.7631755850001,31.245452766,0,5 מגרשי טניס שדה,נאות לון,שמחה הולברג,6.00000000000,נאות לון,כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,חוגי טניס כיוונים וקהילה,טניס שדה
34.7629402860001,31.2467061610001,0,מגרש כדורסל – 19X32 מ',נאות לון,שמחה הולברג,6.00000000000,נאות לון,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,,נאות לון,,
34.7697978840001,31.251902102,0,מתקן פתוח לכושר גופני,פארק כושר נאות לון,יגאל ידין,6.00000000000,נאות לון,כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,כושר
34.8001690340001,31.228162131,0,אצטדיון כדורגל – 105X70 מ',נווה נוי,נווה נוי,0.00000000000,נווה נוי,כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,מכבי,כדורגל
34.7838169560001,31.259834062,0,מגרש כדורסל – 19X32 מ',תומר,מבצע נחשון,0.00000000000,ו' החדשה,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,תומר,,
34.7748347400001,31.259853514,0,מגרש כדורסל – 19X32 מ',"שז""ר",מבצע עובדה,43.00000000000,ו' החדשה,כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,"שז""ר",,
34.7752224270001,31.2598171220001,0,אולם ספורט קטן – 15x24 מ',"שז""ר",מבצע עובדה,43.00000000000,ו' החדשה,כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,"שז""ר",הפועל,"טנ""ש"
34.7871317070001,31.2480305330001,0,אולם ספורט גדול - 45X24 מ',רעות,בזל,0.00000000000,א,ניהול עצמי,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רעות,"בית""ר",כדורסל
34.786552913,31.2477665590001,0,מגרש ספורט משולב – 43X32 מ',רעות,בזל,0.00000000000,א,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רעות,,
34.7962696430001,31.2574005970001,0,מגרש כדורסל – 19X32 מ',רננות,אבן גבירול,10.00000000000,ב',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רננות,,
34.8046295930001,31.2737522850001,0,מגרש כדורסל – 19X32 מ',רמות,הדעת פינת המדע,0.00000000000,רמות,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רמות,,
34.7793079900001,31.2529595400001,0,מגרש ספורט משולב – 43X32 מ',"רמב""ם",קדושי בגדד,1.00000000000,ג',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,"רמב""ם",,
34.762406061,31.2569153040001,0,מגרש כדורסל – 19X32 מ',רימונים,ישעיהו,1.00000000000,"יי""א",ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רימון,,
34.777795133,31.273396747,0,אצטדיון כדורגל עירוני – 105X68 מ',טרנר,הצדיק מירושלים,1.00000000000,נחל עשן,כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,2014,תקין ופעיל,עיריית באר שבע,,"הפועל ב""ש",כדורגל
34.7590073750001,31.2542877490001,0,מגרש טניס,קאנטרי קלאב,,0.00000000000,,קאנטרי קלאב,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7586057660001,31.2531898080001,0,בריכת שחיה - 20X50 מ',קאנטרי קלאב,,0.00000000000,,קאנטרי קלאב,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7588283760001,31.25282908,0,בריכת שחיה - 25X12.5 מ',קאנטרי קלאב,,0.00000000000,,קאנטרי קלאב,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7584745440001,31.254249751,0,מגרש ספורט משולב – 43X32 מ',קאנטרי קלאב,,0.00000000000,,קאנטרי קלאב,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7588771530001,31.2536426240001,0,אחר: מתקן ספורט כללי,קאנטרי קלאב,,0.00000000000,,קאנטרי קלאב,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.782631399,31.268588176,0,מגרש כדורסל – 19X32 מ',"בה""ס מקיף אמית",מרדכי מקלף יעקב דורי,0.00000000000,ו' החדשה,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,עמית,,
34.7829138560001,31.2682580540001,0,אולם ספורט קטן – 15x24 מ',"בה""ס מקיף אמי""ת",מרדכי מקלף יעקב דורי,0.00000000000,ו' החדשה,ניהול עצמי,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,עמית,,
34.772631473,31.2474796130001,0,מגרש ספורט משולב – 43X32 מ',נתיבי עם,שד' ירושלים,0.00000000000,ט',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,נתיבי עם,,
34.788533027,31.255419298,0,מגרש כדורסל – 19X32 מ',נתיבות יורם,בצלאל,35.00000000000,ב',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,אין נגישות לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,נתיבות יורם,,
34.7964984480001,31.2643023030001,0,מגרש ספורט משולב – 43X32 מ',נעורים,אלכסנדר ינאי,12.00000000000,ד',כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,כיוונים,כדורגל
34.7904767800001,31.2692189520001,0,מגרש כדורגל גדול– 45X90 מ',נירים,"רש""י",3.00000000000,ד',כיוונים,150.00000000000,בתיאום בלבד עם מאיר בוסקילה מנהל נירים,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,כיוונים,כדורגל
34.777571515,31.225239576,0,מגרש ספורט משולב – 43X32 מ',נחל בקע,,0.00000000000,,כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.806820364,31.2622378410001,0,אולם ספורט גדול - 45X24 מ',מרכז הספורט באוניברסיטת בן גוריון,,0.00000000000,,אוניברסיטת בן גוריון,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.807688447,31.261238554,0,מגרש טניס,מרכז הספורט באוניברסיטת בן גוריון,,0.00000000000,,אוניברסיטת בן גוריון,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.8076490820001,31.2617019100001,0,בריכת שחיה - 20X50 מ',מרכז הספורט באוניברסיטת בן גוריון,,0.00000000000,,אוניברסיטת בן גוריון,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.765448459,31.2685865870001,0,מגרש כדורסל – 19X32 מ',"בה""ס נווה מנחם",רבקה,6.00000000000,נחל עשן,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,נווה מנחם,,
34.806922813,31.2617643030001,0,בריכת שחיה - 25X12.5 מ',מרכז הספורט באוניברסיטת בן גוריון,,0.00000000000,,אוניברסיטת בן גוריון,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7918641,31.27281659,0,אולם ספורט קטן – 20x10 מ',מרכז האבקות- בן צבי,התלמוד,0.00000000000,ד',כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,עמי,האבקות
34.7683064490001,31.235070567,0,מגרש ספורט משולב – 43X32 מ',מקיף רגר,נפתלי הרץ אימבר,0.00000000000,נווה זאב,כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רגר,,
34.768728165,31.235374968,0,אולם ספורט גדול - 45X24 מ',מקיף רגר,נפתלי הרץ אימבר,0.00000000000,נווה זאב,כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רגר,"כיוונים, מכבי",חוגים + כדורסל בנות
34.766066283,31.259928626,0,מגרש ספורט משולב – 43X32 מ',מקיף רבין,מרדכי נמיר,0.00000000000,"יי""א",ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רבין,,
34.7665592180001,31.2599538360001,0,אולם ספורט גדול - 45X24 מ',מקיף רבין,מרדכי נמיר,0.00000000000,"יי""א",ניהול עצמי,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רבין,,
34.791441241,31.270131457,0,מגרש כדורסל – 19X32 מ',אלומות,רחבת יהודה הנשיא,0.00000000000,ד',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,אין נגישות לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אלומות,,
34.7705407730001,31.2556603210001,0,אולם ספורט קטן – 15x24 מ',אלון,,0.00000000000,,ניהול עצמי,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אלון,,ריקוד/מחול
34.786915197,31.2656078050001,0,אולם ספורט גדול - 45X24 מ',"אמי""ת- מקיף ד' לשעבר",יהודה הלוי,0.00000000000,שכ' ד',כיוונים,500.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,"אמי""ת","בית""ר, הפועל",כדורסל
34.78744392,31.2651454050001,0,מגרש ספורט משולב – 43X32 מ',"אמי""ת- מקיף ד' לשעבר",יהודה הלוי,0.00000000000,שכ' ד',כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,"אמי""ת",,
34.7992015520001,31.2684982530001,0,מגרש כדורסל – 19X32 מ',"אמירים תל""י",קלאוזנר,0.00000000000,ו' הישנה,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,"אמירים-תל""י",,
34.7676468490001,31.2614260890001,0,מגרש כדורסל – 19X32 מ',אפיק,הרב הרצוג,0.00000000000,"יי""א",ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אפיק,,
34.8033455080001,31.270512228,0,מגרש כדורסל – 19X32 מ',אפיקים בנגב,הדעת,89.00000000000,רמות,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אפיקים בנגב,,
34.802204825,31.2710036300001,0,מגרש ספורט משולב – 43X32 מ',מקיף ז',,0.00000000000,,רשת עמל,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף ז',,
34.802601732,31.27062707,0,אולם ספורט גדול - 45X24 מ',מקיף ז',,0.00000000000,,רשת עמל,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף ז',,
34.7719985530001,31.2486109970001,0,מגרש כדורגל – 45X90 מ',מקיף ו',בית אל,0.00000000000,ט',כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף ו',"הפועל, מכבי בני הנגב","כדורגל נשים, אתלטיקה"
34.7752286840001,31.2472914470001,0,מגרש ספורט משולב – 43X32 מ',מולדת,שד' ירושלים,0.00000000000,שכ' ט',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7794654410001,31.2710172880001,0,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'",מכללת קיי,יהודה הלוי,0.00000000000,ו' החדשה,מכללת קיי,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.779366264,31.270354938,0,מגרש טניס,מכללת קיי,יהודה הלוי,0.00000000000,ו' החדשה,מכללת קיי,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7907048010001,31.230468483,0,מגרש כדורסל – 19X32 מ',מענית,כיכר הגנים,0.00000000000,נווה נוי,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מענית,,
34.801092856,31.252697283,0,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'",מקיף א',דרך השלום,15.00000000000,ג',כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף א',,
34.7827318510001,31.256288752,0,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'",מקיף ג',דרך שמשון,1.00000000000,ב',כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף ג',,
34.7830568460001,31.256393218,0,אולם ספורט בינוני – 32x19 מ',מקיף ג',דרך שמשון,1.00000000000,ב',כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף ג',הפועל,כדורסל
34.7623993190001,31.262886613,0,מגרש ספורט משולב – 43X32 מ',מקיף טוביהו,דוד הראובני,27.00000000000,נחל עשן,כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,טוביהו,,
34.7624228390001,31.2633331220001,0,אולם ספורט גדול - 45X24 מ',מקיף טוביהו,דוד הראובני,27.00000000000,נחל עשן,כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,טוביהו,"הפועל, מכבי דרום, כיוונים","טנ""ש, התעמלות אומנותית וכדורסל"
34.7928530230001,31.252142728,0,מגרש ספורט משולב – 43X32 מ',מקיף ח',המשחררים,0.00000000000,א,כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף ח',,
34.7870839330001,31.254879191,0,מגרש כדורגל – 45X90 מ',מגרש אימונים וסרמיל,יהודה הלוי,0.00000000000,ב',כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.796685306,31.2682041580001,0,מגרש מיני פיץ',ד' מרכז- מגרש ארסנל,,0.00000000000,ד',כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,לא,כדורגל
34.7862857260001,31.2667880610001,0,אולם ספורט גדול - 45X24 מ',דניס השרדות,יהודה הלוי,0.00000000000,ד',כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.786134749,31.25374371,0,אצטדיון כדורגל – 105X70 מ',וסרמיל,יהודה הלוי,0.00000000000,ב',כיוונים,16000.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,"הפועל ומכבי ב""ש",כדורגל
34.8134994120001,31.253835614,0,מגרש כדורגל – 45X90 מ',טאובל,בן גוריון,0.00000000000,ג',כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.812797157,31.2555895850001,0,מגרש טניס,טאובל,בן גוריון,0.00000000000,ג',כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.780322917,31.2444330060001,0,בריכת שחיה - 20X50 מ',בית החייל,בית לחם,2.00000000000,ט',בית החייל,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7807473080001,31.2444304850001,0,מגרש כדורסל – 19X32 מ',בית החייל,בית לחם,2.00000000000,ט',בית החייל,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7804257500001,31.2449077380001,0,אחר: מתקן ספורט כללי,בית החייל,בית לחם,2.00000000000,ט',בית החייל,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7848002910001,31.242645757,0,בריכת שחיה - 25X12.5 מ',בית יציב,העצמאות,79.00000000000,ט',בית יציב,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.793128854,31.2463267840001,0,מגרש כדורסל – 19X32 מ',בר אילן- מוריה,מנדלי מוכר ספרים,0.00000000000,א',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7588432090001,31.2645576210001,0,מגרש כדורסל – 19X32 מ',היובל,המלכים,10.00000000000,נחל עשן,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7778627480001,31.2413997630001,0,מתקן פתוח לכושר גופני,נווה זאב,,0.00000000000,נווה זאב,כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,כושר
34.787205353,31.2572978100001,0,מגרש טניס,מרכז הטניס הישראלי,,0.00000000000,,מרכז הטניס,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
