X,Y,Z,Id,location,Address,Amount,angle
34.7914852530001,31.2518137220001,0,0,,,,
34.79091113,31.251006084,0,0,,,,
34.792167401,31.237832655,0,0,,,,
34.7996069340001,31.250209254,0,0,,,,
34.800097801,31.2493974590001,0,0,,,,
34.7993935,31.2495189790001,0,0,,,,
34.797765784,31.239098658,0,0,,,,
34.8049888040001,31.2448494770001,0,0,,,,
34.805465316,31.245358368,0,0,,,,
34.812221702,31.245417452,0,0,,,,
34.7657107040001,31.258575185,0,0,,,,
34.7663881330001,31.2595882800001,0,0,,,,
34.773902535,31.24741169,0,0,,,,
34.7746456900001,31.2546754200001,0,0,,,,
34.7745429460001,31.2592299820001,0,0,,,,
34.7733722890001,31.260099444,0,0,,,,
34.7727752590001,31.2603405790001,0,0,,,,
34.7823396570001,31.256848915,0,0,,,,
34.769490735,31.236277649,0,0,,,,
34.8044806180001,31.273555335,0,0,,,,
34.803905157,31.2730116230001,0,0,,,,
34.7826635530001,31.244937484,0,0,,,,
34.7822229830001,31.2445682900001,0,0,,,,
34.7818646360001,31.244345809,0,0,,,,
34.7826205750001,31.245001533,0,0,,,,
34.792734814,31.2353174530001,0,0,,,,
34.7907198880001,31.234926823,0,0,,,,
34.7900195130001,31.23558868,0,0,,,,
34.7903650060001,31.2352536870001,0,0,,,,
34.7862947200001,31.2521935560001,0,0,,,,
34.786726034,31.251875684,0,0,,,,
34.7825784250001,31.2465230180001,0,0,,,,
34.7964748140001,31.27565244,0,0,,,,
34.7964191830001,31.275633812,0,0,,,,
34.7965386070001,31.2756357550001,0,0,,,,
34.803112733,31.2775143200001,0,0,,,,
34.810994544,31.2714792510001,0,0,,,,
34.7982068470001,31.2660123520001,0,0,,,,
34.7981995710001,31.266319508,0,0,,,,
34.7758641190001,31.2542924210001,0,0,,,,
34.7761208470001,31.2538238870001,0,0,,,,
34.7767912510001,31.2536478910001,0,0,,,,
34.77709629,31.2245800110001,0,0,,,,
34.77802632,31.224039885,0,0,,,,
34.7774624740001,31.225075713,0,0,,,,
34.8206028180001,31.21578463,0,0,,,,
-1.79769313486232e+308,-1.79769313486232e+308,0,1,,,,
34.8002987140001,31.249406643,0,0,,,,
34.786148294,31.2458129570001,0,0,,,,
34.7885342210001,31.2417794410001,0,0,,,,
34.7884902330001,31.24159193,0,0,,,,
34.7886033450001,31.241684696,0,0,,,,
34.789487228,31.2356655740001,0,0,,,,
34.7955587770001,31.2383943450001,0,0,,,,
34.7964832120001,31.241210987,0,0,,,,
34.791062616,31.269065497,0,0,,,,
34.790888841,31.2680419650001,0,0,,,,
34.768750294,31.262048786,0,0,,,,
34.7974699270001,31.2507626010001,0,0,,,,
34.7975713440001,31.250198751,0,0,,,,
34.7978175100001,31.250508548,0,0,,,,
34.7961774550001,31.247015301,0,0,,,,
34.793006882,31.2434097550001,0,0,,,,
34.797814728,31.2602999260001,0,0,,,,
34.797807129,31.259957123,0,0,,,,
34.7700032280001,31.2480481740001,0,0,,,,
34.793076473,31.252356138,0,0,,,,
34.7924664340001,31.2528478890001,0,0,,,,
34.7931661,31.252873639,0,0,,,,
34.792616868,31.25241512,0,0,,,,
34.793044405,31.2525390760001,0,0,,,,
34.792420083,31.2527184370001,0,0,,,,
34.7632738350001,31.266417555,0,0,,,,
34.761392046,31.263566444,0,0,,,,
34.763253498,31.262468277,0,0,,,,
34.8030400980001,31.245598225,0,0,,,,
34.7829204230001,31.2462433910001,0,0,,,,
34.7587374300001,31.2558258540001,0,0,,,,
34.7992426590001,31.2435912070001,0,0,,,,
34.7986077570001,31.2436092040001,0,0,,,,
34.7978175100001,31.250508548,0,0,,,,
34.7852512800001,31.2454746290001,0,0,,,,
34.7842588140001,31.2457029780001,0,0,,,,
34.785548971,31.245417037,0,0,,,,
34.7843766550001,31.2456794060001,0,0,,,,
34.7890958850001,31.245175929,0,0,,,,
34.78945686,31.245070667,0,0,,,,
34.808978032,31.2441553530001,0,0,,,,
34.8087118280001,31.244198641,0,0,,,,
34.75889053,31.25698205,0,0,,,,
34.7630576270001,31.2450307440001,0,0,,,,
34.761442065,31.26336689,0,0,,,,
34.7632623600001,31.262783229,0,0,,,,
34.7802766900001,31.273117024,0,0,,,,
34.7918224850001,31.2642832870001,0,0,,,,
34.791821484,31.2645132590001,0,0,,,,
34.8064942570001,31.241484541,0,0,,,,
34.8068317990001,31.2412131720001,0,0,,,,
34.795562299,31.24495875,0,0,,,,
34.795542079,31.244731663,0,0,,,,
34.7953036320001,31.2447820190001,0,0,,,,
34.774185463,31.22227945,0,0,,,,
34.7936939570001,31.2350818900001,0,0,,,,
34.803255827,31.2298025480001,0,0,,,,
34.8029047750001,31.230443071,0,0,,,,
34.799186707,31.2364953100001,0,0,,,,
34.7838413970001,31.260146757,0,0,בית ספר תומר,מבצע נחשון 23,5,360
34.7757950540001,31.2473219780001,0,0,,,,
34.7887829320001,31.2635321240001,0,0,,,,
34.791244943,31.26201386,0,0,,,,
34.7831993730001,31.2291420510001,0,0,"מתנ""ס נווה נוי",,,
34.770954062,31.2408789020001,0,0,"מתנ""ס נווה זאב",,,
34.789008688,31.241285868,0,0,מוזיאון הנגב לאומנויות,,,
34.789328955,31.24172121,0,0,בית גוזלן,,,
34.788581186,31.237464303,0,0,תאטרון הפרינג,,,
34.8068469140001,31.236696959,0,0,אמפי פארק,,,
34.8122381630001,31.243741792,0,0,,,,
34.8008501680001,31.248796585,0,0,,,,
34.814452917,31.2535569680001,0,0,,,,
34.813075073,31.253581415,0,0,,,,
34.809355505,31.262349151,0,0,,,,
34.81052056,31.260080972,0,0,,,,
34.81215065,31.2581960090001,0,0,,,,
34.81143518,31.259243795,0,0,,,,
34.799999041,31.2806467720001,0,0,,,,
34.7976156490001,31.2705173360001,0,0,,,,
34.7980413670001,31.2697168880001,0,0,,,,
34.793094969,31.264880835,0,0,,,,
34.793642434,31.264195333,0,0,,,,
34.7778056940001,31.272067361,0,0,,,,
34.773337187,31.248392876,0,0,,,,
34.7794477190001,31.243449723,0,0,,,,
34.7981953350001,31.251003289,0,0,,,,
34.798288272,31.2609963990001,0,0,,,,
34.797987623,31.25855188,0,0,,,,
34.809458428,31.23494702,0,0,,,,
34.81495812,31.2347251670001,0,0,,,,
34.809471511,31.2300460710001,0,0,,,,
34.798673837,31.266708512,0,0,,,,
34.796926426,31.2464226810001,0,0,,,,
34.775531162,31.252653751,0,0,בית ספר אילנות,,5,360
34.8218043960001,31.2269897240001,0,0,צומת חוצות להב,,4,360
34.7751191340001,31.260097349,0,0,"בית ספר שז""ר",,10,
34.7921619050001,31.2527978740001,0,0,מחלקת אחזקת מוסדות,זלמן שניאור 12,6,
34.804604931,31.226710403,0,0,כניסה לעמק שרה,,3 מצל,360
34.804604931,31.226710403,0,0,כניסה לעמק שרה,,3 מצל,360
34.803738846,31.226636118,0,0,צומת 25,הפועלים דרך אילת,1,360
34.7758112330001,31.258648092,0,0,צומת אבא אחימאיר דרך מצדה,,2,270
34.776128081,31.258609775,0,0,צומת מצדה שמעון,,1,45
34.7756076380001,31.258827578,0,0,פארק וטרנים ומתקני כושר,,4,270
34.7809389060001,31.258441685,0,0,צומת מצדה יואב,,1,45
34.7809389060001,31.258441685,0,0,צומת מצדה יואב,,1,45
34.781214015,31.258418729,0,0,צומת יואב מצדה,,2,
34.7812056490001,31.2584258590001,0,0,צומת מצדה יואב,,2,
34.787746806,31.2675932330001,0,0,פארק אילן רמון,,1,120
34.7872221590001,31.2674984650001,0,0,פארק אילן רמון,,2,360
34.7883692830001,31.2675522970001,0,0,פארק הכלבים,,1,360
34.7852676160001,31.2681590720001,0,0,צומת סנהדרין יהודה הלוי,,2,360
34.785533044,31.2681324960001,0,0,צומת סנהדרין יהודה הלוי,,2,
34.785752679,31.2684100210001,0,0,פארק סנהדרין,,1,360
34.8048808620001,31.220515569,0,0,כניסה לעמק מרחוב הבונים,,,
34.81242389,31.220176065,0,0,כיכר טויוטה,,,
34.812990257,31.220196881,0,0,כיכר טויוטה 2,,,
34.8128822900001,31.213703567,0,0,צומת הקוצר,,,
34.813182087,31.225347648,0,0,כיכר הפועלים,,,
34.8163723270001,31.2247655100001,0,0,כניסה הרתף,,,
34.813617229,31.227573014,0,0,כניסה מכיוון דימונה,,,
34.8096634440001,31.2260957410001,0,0,כיכר קרמני,,,
34.798667687,31.25558864,0,0,וינגייט רגר,,5,
34.7995200290001,31.2556247370001,0,0,חניון אפר מול סורוקה,,3,
34.782941975,31.243693266,0,0,"מוזיאון האנז""ק",,15,
34.7689397290001,31.233390575,0,0,בית ספר פלח 5,,17,
34.787019824,31.2664025190001,0,0,"מקיף אמי""ת",,50,
34.761286823,31.2618391710001,0,0,פארק הילדים,,12,
34.7791925510001,31.269107465,0,0,"שצ""פ אבוחצירא",,6,
34.787136913,31.2421517340001,0,0,צומת הפיקוד,,2,
34.7877039700001,31.242043804,0,0,גן רמז,,4,
34.807717822,31.251974401,0,0,השלום ארלוזורוב,,2,270
34.808063035,31.2517869480001,0,0,מרכז אורות,השלום המעפילים,4,360
34.8061720640001,31.2265499710001,0,0,מחסן חרום עירייה,הפועלים 25,13,360
34.8035896320001,31.234262996,0,0,גשר טורקי,,4,360
34.7983288190001,31.235773722,0,0,אגף גנים ונוף,,4,360
34.795935163,31.2394826290001,0,0,שוק עירוני,,70,360
34.79270093,31.2374196110001,0,0,"צומת חברון קק""ל",,4,360
34.791608825,31.238208362,0,0,"קק""ל שלושת בני עין חרוד",,4,360
34.791018288,31.238612136,0,0,"קק""ל טרומפלדור",,4,360
34.787434605,31.2387495790001,0,0,מרכז הצעירים,,,
34.7884040530001,31.2409002300001,0,0,גן אלנבי,,4,
34.7788975920001,31.2657987370001,0,0,מרכז חרום,,,
34.8108471,31.256422227,0,0,השלום וינגייט,,4,360
34.793612974,31.2439892140001,0,0,צומת אלי כהן,,6,360
